NUM     DATE      ADV      DEC    UNCHG   ADVVOL       DECVOL
00168 930128  900.000  918.000  627.000 11247.000      11391        0
00169 930129 1021.000  828.000  576.000 12037.000       9554        0
00170 930201 1189.000  670.000  578.000 14932.000       6059        0
00171 930202 1095.000  775.000  573.000 11945.000      12095        0
00172 930203 1317.000  604.000  534.000 25225.000       5923        0
00173 930204 1341.000  623.000  511.000 21419.000       9847        0
00174 930205  916.000 1005.000  541.000 14490.000      13903        0
00175 930208  929.000  973.000  575.000 9632.000      11038        0
00176 930209  715.000 1206.000  544.000 5852.000      14357        0
00177 930210  952.000  873.000  631.000 13281.000       8485        0
00178 930211 1076.000  774.000  615.000 13113.000       9215        0
00179 930212  736.000 1116.000  585.000 6169.000      12201        0
00180 930216  375.000 1698.000  392.000 2237.000      28898        0
00181 930217  783.000 1151.000  525.000 10134.000      15462        0
00182 930218 1040.000  878.000  543.000 12874.000      14195        0
00183 930219 1275.000  682.000  511.000 16119.000      12335        0
00184 930222 1061.000  935.000  473.000 13606.000      15421        0
00185 930223 1057.000  927.000  514.000 12986.000      16241        0
00186 930224 1224.000  697.000  547.000 21213.000       6342        0
00187 930225 1056.000  817.000  593.000 12892.000       9496        0
00188 930226 1151.000  757.000  566.000 12328.000       8257        0
00189 930301 1103.000  852.000  540.000 10920.000       9793        0
00190 930302 1273.000  656.000  559.000 18787.000       4991        0
00191 930303 1296.000  632.000  581.000 15605.000       8278        0
00192 930304  967.000  931.000  597.000 7999.000      12033        0
00193 930305  922.000  961.000  608.000 11203.000      10239        0
00194 930308 1497.000  506.000  500.000 21691.000       4048        0
00195 930309 1130.000  825.000  543.000 15617.000       9506        0
00196 930310 1031.000  852.000  616.000 14962.000       7422        0
00197 930311  951.000  954.000  603.000 9082.000      12671        0
00198 930312  553.000 1390.000  547.000 5944.000      15526        0
00199 930315 1029.000  842.000  595.000 10915.000       5436        0
00200 930316  955.000  945.000  590.000 8860.000       9150        0
00201 930317  736.000 1158.000  598.000 6834.000      14289        0
00202 930318 1254.000  652.000  576.000 14262.000       6963        0
00203 930319  808.000 1059.000  621.000 10864.000      14979        0
00204 930322  691.000 1199.000  611.000 7709.000      13194        0
00205 930323  888.000  983.000  627.000 10237.000       9885        0
00206 930324  883.000 1001.000  609.000 9951.000      14568        0
00207 930325 1149.000  741.000  609.000 15025.000       7082        0
00208 930326  837.000 1007.000  642.000 8278.000      10474        0
00209 930329 1081.000  808.000  628.000 11517.000       6126        0
00210 930330 1025.000  855.000  627.000 11949.000       8237        0
00211 930331 1161.000  729.000  626.000 14879.000       9263        0
00212 930401  852.000 1043.000  606.000 8205.000      12079        0
00213 930402  397.000 1614.000  482.000 2723.000      27913        0
00214 930405  916.000  988.000  592.000 10704.000      10041        0
00215 930406  867.000 1055.000  570.000 10227.000      16578        0
00216 930407 1064.000  861.000  581.000 14333.000      12171        0
00217 930408  988.000  878.000  620.000 10278.000      14671        0
00218 930412 1341.000  610.000  558.000 18199.000       4988        0
00219 930413 1255.000  704.000  556.000 16874.000       8855        0
00220 930414 1021.000  874.000  611.000 10554.000      12194        0
00221 930415  931.000 1016.000  558.000 10290.000      13095        0
00222 930416  961.000  887.000  666.000 14426.000      11872        0
00223 930419  779.000 1182.000  552.000 9846.000      11384        0
00224 930420  698.000 1232.000  581.000 10395.000      18792        0
00225 930421  917.000  963.000  613.000 12385.000      13432        0
00226 930422  789.000 1148.000  563.000 9980.000      17594        0
00227 930423  746.000 1183.000  576.000 8399.000      14130        0
00228 930426  647.000 1260.000  610.000 8189.000      16931        0
00229 930427  962.000  954.000  594.000 16689.000       8321        0
00230 930428  987.000  917.000  598.000 12270.000      10986        0
00231 930429 1021.000  875.000  606.000 11728.000       9941        0
00232 930430 1210.000  670.000  623.000 14129.000       6748        0
00233 930503 1099.000  805.000  605.000 13254.000       6094        0
00234 930504 1267.000  702.000  548.000 14958.000       8522        0
00235 930505 1116.000  788.000  604.000 14515.000       9508        0
00236 930506  940.000  943.000  632.000 10894.000      10780        0
00237 930507  858.000  981.000  646.000 8322.000      10370        0
00238 930510 1075.000  835.000  603.000 11345.000       7881        0
00239 930511 1053.000  856.000  621.000 11931.000       7130        0
00240 930512  952.000  938.000  648.000 13327.000       8706        0
